book_id,slug,title,existing_tags,suggested_theme_tags,suggested_geo_tags,merged_tags,changed
b07dc162-b31c-415b-b381-185b0ada1b6f,tales-from-beneath-the-arches-eanna-de-freine,Tales from Beneath the Arches,taiwan,urban,taiwan,taiwan; urban,yes
1d60364b-2024-45c6-a523-41b812110837,familia-aeminium-pedro-costa-and-rui-chafes,Família Aeminium,,architecture,coimbra; portugal,architecture; coimbra; portugal,yes
f3de4177-c63a-413e-a3bb-21f6c5824fcf,this-much-is-true-albert-elm,This Much is True,landscape,landscape,carrara; copenhagen; denmark; dubai; india; italy; mumbai; united arab emirates,landscape; carrara; copenhagen; denmark; dubai; india; italy; mumbai; united arab emirates,yes
4687e31f-3af5-428d-9372-a28a84ff0717,maputo-diary-ditte-haarlv-johnsen,Maputo Diary,mozambique; africa,nature; portraits,maputo; mozambique,mozambique; africa; nature; portraits; maputo,yes
61ee52c7-bba0-4fea-8f63-d34b2c4220a4,frames-of-annexation-jacob-lazarus,Frames of Annexation,,,jordan valley; west bank,jordan valley; west bank,yes
46729092-51e0-4611-a50b-4b7d8c352b99,untitled-houses-juliette-lena-hager,Untitled (Houses),,architecture,,architecture,yes
88052a4c-ace9-47db-b9c1-2f6391790e1e,wild-country-and-big-hills-charlie-usher,Wild Country and Big Hills,,,,,no
f1d0a69b-59ab-4dcd-b6fe-a5237f38872e,46-louie-edison,46,,,,,no
d713d1f3-2e5b-49f0-b788-89e4d5182641,kok-boru-charlie-birch,Kok Boru,,asia,cholpon ata; kyrgyzstan,asia; cholpon ata; kyrgyzstan,yes
6148fd1d-90f6-4dfa-87ac-55223a15f4f6,1-new-york-times-plaza-ny-11356-tom-de-peyret,"1 New York Times Plaza, NY 11356",new york; queens,america; urban,new york; united states,new york; queens; america; urban; united states,yes
c50e5621-791c-43d5-8fa6-955aa2da043c,eyes-and-skies-chad-moore,Eyes and Skies,,,,,no
6ee843d3-1960-4383-b502-6c15321f2bdd,cape-light-joel-meyerowitz,Cape Light,,america; landscape; nature,cape cod; united states,america; landscape; nature; cape cod; united states,yes
e6d3b4e4-7e44-4419-b25f-203911f377be,with-and-for-rochelle-marie-adam-sophie-schwartz,With And For,,,,,no
97c10c35-c51c-4c59-9fe5-ed074763b3a2,cathedrals-are-built-in-the-future-simon-roberts,Cathedrals Are Built In The Future,,america; architecture; urban,cuba; havana,america; architecture; urban; cuba; havana,yes
1a134f81-9b3e-4eac-8a58-c26a54931e41,sunshine-le-phuong-nguyen,Sunshine,,australia,australia; melbourne,australia; melbourne,yes
be77d08d-d268-4b1a-8404-6b84242a5606,merrie-albion-landscapes-studies-of-a-small-island-simon-roberts,Merrie Albion - Landscapes Studies of a Small Island,,europe,britain; united kingdom,europe; britain; united kingdom,yes
432defda-c7ab-467a-b938-9ba2a5417d72,zagora-1967-james-becket,"Zagora, 1967",,europe,greece; zagora,europe; greece; zagora,yes
a2422280-5b89-49cc-b77a-f00e43a7ca69,rough-version-the-nts-interviews-2016-2021-francesca-gavin,"Rough Version, The NTS Interviews, 2016-2021",,,,,no
86f44a05-0c2a-4d85-b8e6-d029b267bec3,that-way-william-pym,That Way,,,,,no
e9c4abf6-ea6d-44b2-b194-4f06f428b69e,twenty-four-modern-lorraine-churches-eric-tabuchi,Twenty Four Modern Lorraine Churches,,architecture,france; lorraine,architecture; france; lorraine,yes
c162b838-e8b1-4988-9074-35181dc35569,upmost-for-the-highest-jeremy-elkin,Upmost for the Highest,,street,jamaica; kingston,street; jamaica; kingston,yes
9e17cc1e-f871-4ca2-a2d7-9c7e9117a88d,conservators-notes-gardar-eide-einarsson,Conservator's Notes,,,,,no
6759b7da-b170-4241-b824-80b7e5182a64,winter-todd-fisher,Winter,,urban,new york; usa,urban; new york; usa,yes
72d56513-c77d-4f60-b496-66cc3c8ab0b2,grays-the-mountain-sends-bryan-schutmaat,Grays the Mountain Sends,,landscape; portraits,american west; usa,landscape; portraits; american west; usa,yes
f371bbd0-f9cd-47ac-94ae-8b57ea4e4298,islands-of-the-blest-bryan-schutmaat,Islands of the Blest,,landscape,american west; usa,landscape; american west; usa,yes
5416e212-6d61-4507-a54e-1f20a23fb170,against-god-against-guns-against-energy-gun-store-paintings-david-risley,"Against God, Against Guns, Against Energy. Gun Store Paintings",,portraits,culver city; usa,portraits; culver city; usa,yes
50cb8ee3-0be0-4ccf-aad9-763be7fa4f93,hanley-car-parks-daniel-lyttleton,Hanley Car Parks,,,,,no
1c443028-6482-46b4-9f8b-89df9302740a,a-day-in-the-life-of-viviane-sassen,A Day in the Life of...,,,egypt; marsalam,egypt; marsalam,yes
905de3c1-c70a-4d90-9d5d-d9b83cc1a105,brexshit-times-simon-roberts,Brexshit Times,,,japan; tokyo,japan; tokyo,yes
904ab54c-58a6-444d-8f92-bae4487bad80,average-subject-medium-distance-andy-mattern,Average Subject / Medium Distance,,,,,no
3c44b1b2-543c-4568-850a-4f58884047ca,arn-vol5-eric-tabuchi-nelly-monnier,ARN Vol.5,france; auxois; basse marche; bessin; 2000; bocage bourbonnais; champagne pouilleuse; lavedan; itinéraire : orient-express; marais breton; monts dore; pilat; portails et clôtures; porhoët; segréen; vermandois,france; nature,,france; auxois; basse marche; bessin; 2000; bocage bourbonnais; champagne pouilleuse; lavedan; itinéraire : orient-express; marais breton; monts dore; pilat; portails et clôtures; porhoët; segréen; vermandois; nature,yes
5437ed4d-f85e-45e8-ac31-69cfc6d4e830,pretty-much-sandy-carson,Pretty Much,,america; street,austin; united states,america; street; austin; united states,yes
4fbd3493-4200-4398-b80e-190b28cd47cb,a-day-in-the-life-of-mikael-olsson,A Day in the Life of...,,architecture; italy,capri; italy,architecture; italy; capri,yes
c517550c-4ca2-4155-b0bb-6e6885ce519a,meet-me-in-the-green-glen-maureen-r-drennan,Meet Me In The Green Glen,,nature,california; united states,nature; california; united states,yes
131b093f-61c8-4bf6-99e0-4723a8ea9947,splint-chessa-subbiondo,Splint,,portraits; urban,los angeles; new york; united states,portraits; urban; los angeles; new york; united states,yes
232cd5bc-9d2a-4f48-87e5-789b36cf24b4,hero-shawn-records,Hero,,,,,no
9936a8e3-523a-4019-a5c4-f52f7596d67d,lucky-all-the-time-marissa-patrice-leitman,Lucky All The Time,,,berlin; germany; san francisco; united states,berlin; germany; san francisco; united states,yes
a91ca904-42f1-417f-bb40-e4c6351cc216,flowers-for-bea-brendan-barry,Flowers for Bea,,still life,devon; united kingdom,still life; devon; united kingdom,yes
553e7be3-1ab5-4b14-8b9d-552a11f97187,the-joy-is-in-capturing-the-journey-ray-barbee,The Joy Is In Capturing The Journey,,street,california; united states,street; california; united states,yes
bd4617d1-c824-4276-b1c5-6979b43f3989,the-art-of-reflection-kreshonna-keane,The Art of Reflection,,portraits; urban,new york; united states,portraits; urban; new york; united states,yes
a9db5c9c-b727-4cca-a414-3b18da81fa90,both-sides-of-the-old-road-nicholas-widener,Both Sides of the Old Road,,landscape,alabama; united states,landscape; alabama; united states,yes
418ba468-c692-442e-b0ef-89566e0fa205,plumwood-rory-king,Plumwood,,nature,australia,nature; australia,yes
a1e6215d-8f45-4bcf-92bc-388fa7d36f92,the-marches-fragments-of-time-from-arp-clock-wood-shop-terry-a-ratzlaff,The Marches – Fragments of Time from Arp Clock & Wood Shop,,architecture,bennet; united states,architecture; bennet; united states,yes
830dd5ae-cd09-4490-b78e-9e0528188eb7,06-02-23-0417-nahwand-jaff,06 02 23 04:17,,landscape,adana; adiyaman; gaziantep; hatay; kayseri; turkey,landscape; adana; adiyaman; gaziantep; hatay; kayseri; turkey,yes
29a6be8a-443d-48a6-a51d-9b374ffa4935,1960s1980s-six-books-print-boxset-shirley-baker,1960s–1980s Six Books + Print Boxset,,,,,no
ad5bfbf7-06e9-48f0-8960-684e2520604f,late-night-polaroids-emily-earl,Late Night Polaroids,,street,savannah; united states,street; savannah; united states,yes
467a9b5e-8d2f-492c-9699-d85102aa5740,le-jardin-dhannibal-marine-lanier,Le Jardin d’Hannibal,la meije; the lautaret garden,europe; nature,france; lautaret,la meije; the lautaret garden; europe; nature; france; lautaret,yes
d11c11ce-12c5-49c8-8aff-cd1228a1e595,a-day-in-the-life-of-jenny-kallman,A Day in the Life of...,,portraits; street,stockholm; sweden,portraits; street; stockholm; sweden,yes
a06d8629-9f50-46f0-9db0-7681a9d7ed73,a-day-in-the-life-of-ola-rindal,A Day in the Life of...,,europe; street,moscow; russia,europe; street; moscow; russia,yes
8b476d00-1544-48c4-b624-9738927d3ff5,inizio-simon-roberts,Inizio,,architecture; europe,cortona; italy,architecture; europe; cortona; italy,yes
a2831f23-ce58-4188-89f4-0184a5d5f598,the-tiger-beetle-evan-allan,The Tiger Beetle,,america; landscape,,america; landscape,yes
42bc14a7-f774-40f4-86a1-5c827e15a402,paradise-falling-alana-celii,Paradise Falling,,nature,,nature,yes
cbba7cb4-e676-40b9-a968-60a4024c59cc,everything-as-perfect-as-it-seems-christopher-e-manning,"Everything, As Perfect As it Seems",,,,,no
1dd8c600-1f93-4846-b60a-3775fb32f4e8,manchester-19972001-amelia-troubridge,Manchester 1997–2001,,,england; manchester,england; manchester,yes
0840adcc-fcff-451c-890e-a57a9b4e3d66,pierdom-simon-roberts,Pierdom,,landscape,britain,landscape; britain,yes
0b7d8a85-56ca-4668-8a83-52f603c237a9,myths-of-the-near-future-rob-stephenson,Myths of the Near Future,,landscape,florida,landscape; florida,yes
14ce6ca5-7942-493c-b128-7096c0555487,ambient-pressure-rebecca-najdowski,Ambient Pressure,,nature,,nature,yes
809d0d29-8897-4490-93fb-bcf9961b87e3,heap-o-livin-lora-webb-nichols,Heap-O-Livin’,,portraits,encampment; wyoming,portraits; encampment; wyoming,yes
441342f2-fd3d-44af-a73a-66fed7c4d74e,we-english-simon-roberts,We English,,landscape,england,landscape; england,yes
455096aa-ded9-4e72-8317-eda95af95842,dead-roads-cody-cobb,Dead Roads,,landscape,united states,landscape; united states,yes
721dbad0-3b05-4c08-bbc3-a9e8a31bc8fd,rejoice-amanda-greene,Rejoice,,portraits,georgia,portraits; georgia,yes
c437ff44-eae7-471e-b0ca-49033834ccc0,the-ballad-of-sexual-dependency-nan-goldin,The Ballad of Sexual Dependency,,,,,no
a9b545d2-a4bd-42a5-a543-3bdd6e100478,only-barely-still-on-women-and-wilderness-catherine-lemble,Only Barely Still – On Women and Wilderness,,nature; portraits,norway; svalbard,nature; portraits; norway; svalbard,yes
245b0d3e-e05c-48a2-bc89-24096b94592f,ten-til-late-mark-mcnulty,Ten 'til Late,,,,,no
a11f9678-7c65-4b8e-a135-c880d2dd0670,the-brexit-lexicon-simon-roberts,The Brexit Lexicon,,europe,london; uk,europe; london; uk,yes
8a0971ab-4be7-48f0-b502-74e182cb43cb,young-blood-dan-farnum,Young Blood,,america; urban,detroit; usa,america; urban; detroit; usa,yes
af7aea6e-2872-42b8-bb68-83d8858466b7,when-the-neighborhoods-not-looking-william-cress,When The Neighborhood’s Not Looking,,street,camden; philadelphia; usa,street; camden; philadelphia; usa,yes
00e10485-e3d3-4684-aacb-0263cdbb65ca,american-squares-leah-frances,American Squares,,america,pennsylvania; usa,america; pennsylvania; usa,yes
b9799cce-2e1a-452a-bb03-ec5f36e2552d,green-lungs-of-the-city-simon-roberts,Green Lungs of the City,,urban,,urban,yes
63c131de-038c-49f7-8114-61585364c0d6,donostia-diary-peter-bialobrzeski,Donostia Diary,donostia; spain; san sebastián,europe,donostia; spain,donostia; spain; san sebastián; europe,yes
a4541c75-bfa3-4670-9da9-527fff3b271c,flat-pictures-you-can-feel-will-douglas,Flat Pictures (You Can Feel),,,,,no
9c93f812-79ec-44cf-aa16-6a1bd0d16981,color-me-lucky-alexis-pike,Color Me Lucky,,america,,america,yes
06b5860d-b024-4d4f-81aa-12891ac5ccda,this-is-a-sign-simon-roberts,This Is A Sign,,europe,,europe,yes
574a2d44-1ae9-418e-b4ec-bccb21f5346e,out-west,Out West,canada; landscape,landscape,,canada; landscape,no
04ff1bed-6f80-4533-a3e7-88a7733205ee,norilsk,Norilsk,norilsk; russia; arctic; minerals,,,norilsk; russia; arctic; minerals,no
20e66efd-1e2c-4398-9dd1-c6deb9fa3020,land-star-richard-mccabe,Land Star,,america,new orleans; united states,america; new orleans; united states,yes
66832aab-de9c-4d02-891c-1420a305df3b,the-arc-jen-ervin,The Arc,,,,,no
67c44a28-67f5-4b46-a8ae-d48f79bb0abb,the-election-project-simon-roberts,The Election Project,,,united kingdom,united kingdom,yes
9c1ce6c7-1878-4a4c-a375-383dfac58e6f,everything-is-regional-tyler-haughey,Everything Is Regional,,architecture; urban,ocean township; united states,architecture; urban; ocean township; united states,yes
64013477-483d-4049-830d-0e4ba6cc043c,instant-honey-thomas-jordan,Instant Honey,,landscape,chicago; united states,landscape; chicago; united states,yes
19fdecf3-0eef-46ba-a972-99d4451e967d,posthume-mark-armijo-mcknight,Posthume,,,,,no
61a8ab42-7408-4e4d-8c73-d048dcbab3ce,new-vedute-alternative-postcards-of-italy-simon-roberts,New Vedute - Alternative Postcards of Italy,,italy,,italy,yes
59b9443e-0458-4b27-9210-4038bd9d5986,and-another-thing-anthony-gerace,And Another Thing…,,,,,no
b9173402-f412-4a8d-a4d4-3ada7430aff0,on-the-periphery-sinziana-velicescu,On The Periphery,,architecture; urban,los angeles; united states,architecture; urban; los angeles; united states,yes
d5fcdbaa-1eba-42e8-a767-4036bcc93639,bristol-gardens-maida-vale-london-1970s-80s-2-books-sheila-burnett,"Bristol Gardens, Maida Vale, London 1970s & 80s, 2 Books",,,london; united kingdom,london; united kingdom,yes
9f70c6b8-e005-4167-8f11-ae10a6e65c9c,boxing-boys-simon-roberts,Boxing Boys,,portraits,north of england; united kingdom,portraits; north of england; united kingdom,yes
8f9fce80-3853-41c6-8f55-e978040313be,stoke-on-trent-19831986-series-2-books-mark-campbell,Stoke-on-Trent 1983–1986 series 2 books,,,stoke-on-trent; united kingdom,stoke-on-trent; united kingdom,yes
978a67c2-e3c4-4b86-81df-83609d0d4d2d,ave-maria-rylan-steele-and-nora-wendl,Ave Maria,,,,,no
2f6c95b6-742e-4726-8dfc-3e5a55dd9f63,translations-mark-dorf,Translations,,landscape,,landscape,yes
8877bccd-48b5-484d-a135-5189228e7b3b,down-down-baby-ciara-duffy,"Down, Down, Baby",,,,,no
07b34abb-84bb-46b9-bfd0-b76691c75e34,shiny-ghost-rachel-cox,Shiny Ghost,,portraits,,portraits,yes
e8665f93-4e49-45ea-94a9-f70869520d2c,deutsches-in-deutschland-eoin-moylan,Deutsches in Deutschland,photography,germany,germany,photography; germany,yes
049b5ec6-815d-4360-b55a-c85fb52ac1c8,casa-de-fruta-y-pan-meg-griffiths,Casa de fruta y pan,,urban,cuba,urban; cuba,yes
27e47122-818e-46e0-bf4f-c7e76385fd26,corrections-zora-j-murff,Corrections,,america,,america,yes
1d43c572-d8ba-41b6-9434-bf924684e623,a-real-imitation-tommy-kha,A Real Imitation,,landscape; portraits,memphis; united states,landscape; portraits; memphis; united states,yes
79cd00bc-6328-4e31-857a-b30e5b5b1e8b,shaped-by-the-west-dino-kuznik,Shaped By The West,,america,arizona; california; nevada; new mexico; united states; utah,america; arizona; california; nevada; new mexico; united states; utah,yes
56ca7c38-6069-4c55-931a-74d9a142ab40,plusgood-tatum-shaw,Plusgood!,,,,,no
c7954076-b0b2-406e-aed9-1549d227bc9b,domestic-demise-patty-carroll,Domestic Demise,,still life,,still life,yes
02f0d59c-61ea-447e-b7da-b5560bef018b,forth-back-dreams-of-new-york,Forth + Back,,,new york; united states,new york; united states,yes
c5d9f7cf-9628-4fbd-b392-62d4b0e94903,found-polaroids-kyler-zeleny-1,Found Polaroids,,,,,no
800809aa-e711-4bbd-b87d-67a9837c8366,at-that-particular-moment-xl,At That Particular Moment Xl,alaska; america,landscape,denali national park; united states,alaska; america; landscape; denali national park; united states,yes
7bc52cb7-fd38-414d-961b-239b83d66b2d,goat-trails-stephen-milner,Goat Trails,,landscape; urban,california; united states,landscape; urban; california; united states,yes
275a8844-ff16-4297-9bb0-50eb6614720c,do-the-priest-in-different-voices-maury-gortemiller,Do The Priest In Different Voices,,,,,no
90a6dca8-c61f-4193-acd7-f9e10c099ef3,stockport-market-19761977-heidi-alexander,Stockport Market 1976–1977,,street; urban,stockport; united kingdom,street; urban; stockport; united kingdom,yes
6cbc3582-2839-4df4-a40d-df2bc56b9331,slang-king-mes-on-stage-1977-2013-bob-nickas-and-nikholis-planck,Slang King: M.E.S. on Stage 1977-2013,,portraits; urban,biel; manchester; new york; sheffield; switzerland; united kingdom; united states,portraits; urban; biel; manchester; new york; sheffield; switzerland; united kingdom; united states,yes
ebf87b9e-b1e6-4db2-80e3-9155a356d789,3,<3 ,,,,,no
e6ff9260-edd2-43f0-8c91-b544ef78c95c,never-run-faster-than-your-guardian-angel-can-fly-fryd-frydendahl,Never Run Faster Than Your Guardian Angel Can Fly,,,denmark; new york; united states,denmark; new york; united states,yes
b8c9cca3-4a3a-48de-a3d9-78980b2cfc87,omne-atlas-aqu,Omne / Atlas Aquæ,,nature,,nature,yes
38a77d7d-f4a6-4669-8853-a288a89691fc,future-techno-fossil-tumbleweed-thomas-vlisen,Future Techno Fossil Tumbleweed,,landscape,new mexico; united states,landscape; new mexico; united states,yes
e1e09d43-8ce9-4016-86eb-62ed1c04151f,wild-is-the-wind-jennifer-rochlin,Wild Is The Wind,,nature,,nature,yes
ce7b82f9-d04c-4bf4-a1b4-1716f4dc5abe,la-soufriere-kristian-kran,La Soufrière,,portraits,basse-terre; guadeloupe,portraits; basse-terre; guadeloupe,yes
9d70877a-9783-434b-929a-bcb91b432c21,2022-2023-2024-2025-ck-cobra-ken-kagami,"2022, 2023, 2024, 2025",,asia,japan; tokyo,asia; japan; tokyo,yes
4457b399-e3f9-4ba2-9aa3-e8668a1c6301,lilies-david-gilbert,Lilies,,,,,no
97a2e883-2566-4794-9b4d-215571491915,oren-pinhassi-oren-pinhassi,oren pinhassi,,,,,no
d8a6754e-2e08-44e6-941e-232c4e509038,mimes-zolo-zine-3-torbjrn-rdland,Mimes,,,,,no
e442d59d-5b4c-4fab-a30c-8c5000b6f446,one-big-bang-adel-abdessemed,One Big Bang,,still life,belgium; brussels,still life; belgium; brussels,yes
0bec82e2-e776-49ae-8b62-ea416e67340c,untitled-spencer-lewis,Untitled,,america,,america,yes
b3ec1410-934a-439f-9a14-f93ef7a31f77,ernesto-burgos-ernesto-burgos,Ernesto Burgos,,,,,no
e79d2230-dbd7-4bd9-9f95-6f50d61b45ca,fournez-brice-guilbert,Fournez,,nature,france; la réunion,nature; france; la réunion,yes
ad611cb3-388c-4b74-bcab-662e7c7a1d06,museutopia-a-photographic-research-project-by-ilya-rabinovich,Museutopia,,,chisinau; moldova,chisinau; moldova,yes
f8145cc2-69ca-4f24-a036-b0329c7ab82a,les-yeux-fermes-eliot-nasrallah,Les yeux fermés,,landscape,greece,landscape; greece,yes
361e4276-4648-42c6-bb93-9e0e3479ec57,may-68-books-records-bob-nickas,May 68 Books & Records,,,,,no
6609134c-c88f-4c9c-85b7-4b0d9f385912,robert-smithson-art-in-continual-movement,Art in Continual Movement,,architecture,emmen; netherlands,architecture; emmen; netherlands,yes
f307e5d1-bf13-4149-9cbd-226231d0c824,sansookyung-se-min-byung-hun,sansookyung (SE),special edition,landscape,south korea,special edition; landscape; south korea,yes
7799b105-1a27-4d87-82e9-342177df047b,forms-of-contingency-and-gabriel-kuri,Forms of Contingency and…,,,,,no
01f867dd-4c57-43f9-8023-4348b61e86d1,work-portraits-portrait-work-ben-wolf-noam,Work Portraits Portrait Work,,portraits,,portraits,yes
dd9d5d9d-a8ec-45fc-832b-1fe74eb355b0,sansookyung-min-byung-hun,sansookyung,,asia; landscape,south korea,asia; landscape; south korea,yes
7287aa0c-26a3-44da-90a8-6143fc513e9c,a-conversation-with-the-world-lonnie-graham,A Conversation with the World,,portraits,,portraits,yes
c918c0ff-1326-4fa8-a0a6-9c34ac4ddfae,noema-michael-swann,Noema,,spain,bosnia & herzegovina; medjugorje; san sebastian de garabandal; spain,spain; bosnia & herzegovina; medjugorje; san sebastian de garabandal,yes
cd3c72b3-a8f4-42d9-9605-db34ad3c4682,a-day-in-the-life-of-blommersschumm,A Day in the Life of...,,urban,amsterdam; netherlands,urban; amsterdam; netherlands,yes
1ccdc341-6fce-4fcc-b624-46bbed13360d,a-day-in-the-life-of-torbjrn-rdland,A Day in the Life of...,,portraits; urban,japan; tokyo,portraits; urban; japan; tokyo,yes
c8648865-eb7a-4b89-8c43-6aa9b8a597ff,detours-zolo-zine-2-hana-miletic,Detours,,,,,no
8b58fde3-7821-4360-a301-b64d2feb6341,girl-pictures-justine-kurland,Girl Pictures,,america,,america,yes
936bdb41-4b86-406b-8f2f-ef3e837b47fd,die-mauer-ist-weg-mark-power,Die Mauer Ist Weg!,berlin; berlin wall,europe,berlin; germany,berlin; berlin wall; europe; germany,yes
d99ac142-7f9a-46d3-b560-4ce3715eefd3,metalheadz-blue-note-london-19941995-eddie-otchere,"Metalheadz, Blue Note London 1994–1995",,,,,no
ba842c0e-2d6c-441d-b913-38e36e31bb65,superstructure-mark-power,Superstructure,london; uk; millennium dome; construction site,architecture,england; london,london; uk; millennium dome; construction site; architecture; england,yes
4469e4e5-b6e3-424c-9092-5457c480b5f5,meditations-in-an-emergency-ana-segovia,Meditations in an Emergency,,,mexico; mexico city,mexico; mexico city,yes
02c7f389-e24c-4660-9c76-61046d1f0d84,autonomous-drive-frieda-toranzo-jaeger,Autonomous Drive,,,mexico; mexico city,mexico; mexico city,yes
d7279257-b97a-442a-b51d-dba086fe6b52,scrapyard-abstraction-machteld-rullens,Scrapyard Abstraction,,,amsterdam; los angeles; netherlands; new york; senegal; united states,amsterdam; los angeles; netherlands; new york; senegal; united states,yes
7f4dad96-7348-494b-ab04-dffaa425b26a,encounters-minny-lee,encounters,,nature,,nature,yes
ae3bbc03-b3d2-4690-a19d-71f054d8b908,santa-barbara-save-us-alejandro-cartagena,Santa Barbara Save Us,mexico; america; california,,united states,mexico; america; california; united states,yes
df253438-2799-4645-a24c-9bc0c16cba66,good-morning-america-volume-iii-mark-power,"Good Morning, America (Volume III)",usa; landscape; politics,america,california; florida; maine; michigan; nevada; south carolina; united states; vermont; wyoming,usa; landscape; politics; america; california; florida; maine; michigan; nevada; south carolina; united states; vermont; wyoming,yes
1ee5737c-e9c1-496a-a32f-947fb8c63ed3,diario-de-plantas-gabriel-orozco,Diario De Plantas,,america; asia; nature,acapulco; japan; mexico; tokyo,america; asia; nature; acapulco; japan; mexico; tokyo,yes
098439d0-8b5d-43a9-af93-065f7ab742d8,interlude-alyssa-minahan,Interlude,,,,,no
2495f5a2-0308-4e50-b270-a501e68adc14,fergus-feehily-fergus-feehily,Fergus Feehily,,europe; portraits,aachen; dublin; germany; ireland; japan; mexico; mexico city; tokyo,europe; portraits; aachen; dublin; germany; ireland; japan; mexico; mexico city; tokyo,yes
0e0f5914-1b2c-452a-9efe-8b7948e86b87,beirut-diary,Beirut Diary,beirut; lebanon,urban,beirut; lebanon,beirut; lebanon; urban,yes
f4ce3d06-320c-438d-a9f6-105fcb0825c1,cant-go-unless-we-all-go-otis-houston-jr,Can’t GO Unless WE ALL GO,,america; street,greenville; harlem; usa,america; street; greenville; harlem; usa,yes
58836389-d810-4ca1-8fed-b33b856fb53e,mariposa-b1-09-michael-lin,Mariposa B1-09,,architecture; urban,japan; mexico; mexico city; tokyo,architecture; urban; japan; mexico; mexico city; tokyo,yes
0f67456e-275d-46d7-b7ae-87b5f39efc70,local-warming-sebastian-black,Local Warming,,,los angeles; new york; usa,los angeles; new york; usa,yes
38e042c6-e870-4965-a1c8-799c3fe12f84,the-treasury-project-mark-power,The Treasury Project,construction site; architecture; regeneration,architecture; europe,london; uk,construction site; architecture; regeneration; europe; london; uk,yes
fd683328-9c47-44a6-a85d-392c19a76814,ossa-kathryn-martin,Ossa,bronze age; itford hill,landscape; nature,itford hill; uk,bronze age; itford hill; landscape; nature; uk,yes
7fea160a-9c9e-4441-8822-e2dee0a50e2c,tokyo-private-un-roman-photo-harold-ancart,Tokyo Private (Un Roman Photo),,asia,japan; tokyo,asia; japan; tokyo,yes
bb21bc2a-0fdf-4b0f-917a-50efa7551706,el-topo-y-la-tetera-gabriel-sierra,El Topo Y La Tetera,,,colombia; san juan nepomuceno,colombia; san juan nepomuceno,yes
7516886f-c918-4848-924f-262d9af4fccc,philosophy-from-b-to-z-b-wurtz,Philosophy From B To Z,,america,pasadena; usa,america; pasadena; usa,yes
1babe6fe-3129-4696-bea0-d5440d74a1c4,shimmers-alison-mccauley,Shimmers,,europe,côte d’azur; france,europe; côte d’azur; france,yes
e5349faa-1867-4c2f-b800-3e8a03659fca,diary-of-guernica-beatriz-gonzalez,Diary Of Guernica,,,,,no
0b1ec274-01b9-4e80-86bc-40f7c2e37232,side-street-paul-murray,Side Street,,urban,,urban,yes
ea58d571-b031-471f-98de-1417260bbabf,the-great-room-katherine-hubbard,The Great Room,,architecture,,architecture,yes
2286edcd-1c89-4230-8b2e-ba16c0760858,when-you-invent-the-ship-you-also-invent-the-shipwreck-peter-funch,"When You Invent the Ship, You Also Invent the Shipwreck",,,,,no
